[2025-06-26 16:00:47] DEBUG | (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default

[2025-06-26 16:00:47] DEBUG | (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default

[2025-06-26 16:00:58] DEBUG | (0.000) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2025-06-26 09:00:58.749765' AND "django_session"."session_key" = 'iwx9ooffm9bw7h9qd8oczfjl2pek3ymf') LIMIT 21; args=('2025-06-26 09:00:58.749765', 'iwx9ooffm9bw7h9qd8oczfjl2pek3ymf'); alias=default

[2025-06-26 16:00:58] DEBUG | (0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,); alias=default

[2025-06-26 16:00:58] DEBUG | (0.000) SELECT COUNT(*) AS "__count" FROM "my_app_cart"; args=(); alias=default

[2025-06-26 16:00:58] DEBUG | (0.000) SELECT COUNT(*) AS "__count" FROM "my_app_cart"; args=(); alias=default

[2025-06-26 16:00:58] DEBUG | (0.000) SELECT "my_app_cart"."id", "my_app_cart"."customer_id", "my_app_cart"."name", "my_app_customer"."id", "my_app_customer"."name" FROM "my_app_cart" INNER JOIN "my_app_customer" ON ("my_app_cart"."customer_id" = "my_app_customer"."id") ORDER BY "my_app_cart"."id" DESC; args=(); alias=default

[2025-06-26 16:00:58] DEBUG | (0.000) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2025-06-26 09:00:58.796567' AND "django_session"."session_key" = 'iwx9ooffm9bw7h9qd8oczfjl2pek3ymf') LIMIT 21; args=('2025-06-26 09:00:58.796567', 'iwx9ooffm9bw7h9qd8oczfjl2pek3ymf'); alias=default

[2025-06-26 16:00:58] DEBUG | (0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,); alias=default

[2025-06-26 16:01:04] DEBUG | (0.000) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2025-06-26 09:01:04.906090' AND "django_session"."session_key" = 'iwx9ooffm9bw7h9qd8oczfjl2pek3ymf') LIMIT 21; args=('2025-06-26 09:01:04.906090', 'iwx9ooffm9bw7h9qd8oczfjl2pek3ymf'); alias=default

[2025-06-26 16:01:04] DEBUG | (0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,); alias=default

[2025-06-26 16:01:04] DEBUG | (0.000) SELECT COUNT(*) AS "__count" FROM "my_app_receiptitem"; args=(); alias=default

[2025-06-26 16:01:04] DEBUG | (0.000) SELECT COUNT(*) AS "__count" FROM "my_app_receiptitem"; args=(); alias=default

